dcf20,dfcf20,dfcfTerminal,discountRate,dni20,flag_dcf_missing,flag_dcf_negative,flag_dfcf_missing,flag_dfcf_negative,flag_dni_missing,flag_meanpb_missing,flag_meanps_missing,growth_11_20,growth_1_5,growth_6_10,industry,meanPB,meanPE,meanPE_noNRI,meanPS,medianPB,medianPE,medianPS,oraclePremiumPct,oracleValue,ratio_oracle_dcf,ratio_oracle_meanPB,ratio_oracle_meanPS,ratio_oracle_medianPB,ratio_oracle_medianPS,ruleOf40,sector,source_file,ticker
748.87,611.05,1798.9,5.37,369.8,False,False,False,False,False,False,False,4.0,18.14,6.56,Medical - Healthcare Plans,477.5715,263.004,264.3344,550.5786,529.1189,261.702,642.3417,-34.25,442.04,0.5902760158639017,0.9255996222555157,0.8028644774787832,0.8354265931532591,0.6881695521246715,13.27,Healthcare,stockoracle_payloads/healthcare_plans_2025-10-27.json,HUM
53.98,31.37,96.18,5.37,65.25,False,False,False,False,False,False,False,4.0,3.58,4.0,Medical - Healthcare Plans,80.91,94.9312,91.8372,101.0912,82.026,71.136,97.4808,-54.52,74.91,1.387736198592071,0.9258435298479792,0.7410140546358139,0.9132470192378026,0.7684590196223255,12.14,Healthcare,stockoracle_payloads/healthcare_plans_extra_2025-10-27.json,CNC
,,,5.37,334.61,True,False,True,False,False,False,False,4.0,6.29,4.0,Medical - Healthcare Plans,433.9104,338.7548,325.134,475.1992,444.5938,339.4276,500.6563,-64.54,460.55,,1.061394241760511,0.9691725070244226,1.035889389370702,0.91989254904013,14.9,Healthcare,stockoracle_payloads/healthcare_plans_extra_2025-10-27.json,MOH
147.8,79.97,354.7,5.37,73.91,False,False,False,False,False,False,False,4.0,12.74,10.58,Medical - Healthcare Plans,83.0552,63.2961,63.3635,97.376,80.6124,55.8705,88.247,32.02,62.06,0.4198917456021651,0.747213901116366,0.63732336510023,0.7698567466047408,0.7032533683864608,9.62,Healthcare,stockoracle_payloads/healthcare_plans_extra_2025-10-27.json,CVS
900.06,876.46,503.01,7.77,,False,False,False,False,True,False,False,4.0,81.28,4.0,Medical - Healthcare Plans,9.9904,-6.3867,-15.9104,53.7344,9.3632,1.769,19.3108,18.19,16.0,0.017776592671599672,1.601537475976938,0.2977608384945212,1.7088174982911823,0.8285518984195372,40.24,Healthcare,stockoracle_payloads/healthcare_plans_extra_2025-10-27.json,OSCR
5383.03,1101.7,1101.7,7.77,339.59,False,False,False,False,False,False,False,4.0,116.89,55.26,Software - Infrastructure,15.576,-1.872,-1.593,101.4398,40.592,-2.304,57.7774,56.23,46.01,0.00854723083467861,2.9539034411915766,0.4535695062490265,1.1334745762711864,0.796332129863926,64.41,Technology,stockoracle_payloads/raw/raw_afrm.json,AFRM
1810.22,,,6.57,266.43,False,False,True,False,False,False,False,4.0,37.93,36.45,Financial - Credit Services,40.3132,18.8877,19.097,48.71,39.8976,13.7942,37.5067,-3.01,40.18,0.022196197147308062,0.9966958713275056,0.8248819544241429,1.0070781199871672,1.0712752654858997,5.58,Financial Services,stockoracle_payloads/raw/raw_ally.json,ALLY
1914.5,1835.8,1835.8,6.87,926.45,False,False,False,False,False,False,False,4.0,10.43,10.3,Asset Management,517.0526,-338.5404,-842.6011,478.929,557.2524,552.492,478.929,-12.3,516.25,0.2696526508226691,0.9984477401332089,1.0779259556218146,0.9264204155962361,1.0779259556218146,31.57,Financial Services,stockoracle_payloads/raw/raw_amp.json,AMP
215.49,215.49,182.16,7.77,144.73,False,False,False,False,False,False,False,4.0,12.56,12.23,Asset Management - Global,215.8637,105.0205,74.412,200.2376,165.1091,67.8915,160.8896,17.64,105.67,0.49037078286695435,0.4895218603220458,0.5277230649987815,0.6400010659618397,0.6567857711126138,8.99,Financial Services,stockoracle_payloads/raw/raw_apo.json,APO
,,,6.87,,True,False,True,False,True,False,False,4.0,-40.21,4.0,REIT - Office,133.8216,-78.1261,-78.9659,163.3492,114.2856,-127.3285,140.322,-56.63,134.23,,1.0030518242197075,0.8217365006991157,1.1745136745136744,0.956585567480509,20.75,Real Estate,stockoracle_payloads/raw/raw_are.json,ARE
86.57,88.65,88.65,5.37,46.02,False,False,False,False,False,True,False,4.0,-3.47,4.7,REIT - Residential,,231.46,232.306,231.012,0.0,232.275,216.6807,-16.22,207.58,2.397828347002426,,0.8985680397555106,,0.9579994895715217,35.94,Real Estate,stockoracle_payloads/raw/raw_avb.json,AVB
19.26,20.02,16.21,7.17,31.12,False,False,False,False,False,False,False,4.0,14.89,17.4,Asset Management,39.0075,47.4393,58.95,67.8141,36.8025,41.6361,63.6465,73.71,31.12,1.6157840083073727,0.7977952957764533,0.4589016148559076,0.8455947286189797,0.48895068856889223,583.32,Financial Services,stockoracle_payloads/raw/raw_bam.json,BAM
34.02,50.98,50.98,7.47,,False,False,False,False,True,False,False,4.0,5.07,5.5,Asset Management,26.6002,9.0896,9.0376,27.588,26.1294,7.6024,26.4176,23.35,18.33,0.538800705467372,0.6890925632138103,0.6644193127446715,0.701508645433879,0.6938556114105747,14.67,Financial Services,stockoracle_payloads/raw/raw_ben.json,BEN
467.67,352.79,352.79,5.97,,False,False,False,False,True,False,False,4.0,9.83,9.83,Medical - Devices,342.1575,420.425,455.625,454.0522,342.1575,105.42,399.9079,-6.98,343.54,0.7345778005858832,1.0040405368872523,0.7566090418678734,1.0040405368872523,0.8590477957549727,9.29,Healthcare,stockoracle_payloads/raw/raw_bio.json,BIO
687.34,512.02,512.02,7.47,958.81,False,False,False,False,False,True,False,4.0,9.03,15.27,Asset Management,,0.0,851.711,967.371,0.0,0.0,974.87,15.47,937.75,1.3643175138941426,,0.9693798966477184,,0.9619231282119667,48.05,Financial Services,stockoracle_payloads/raw/raw_blk.json,BLK
14.8,,,7.77,,False,False,True,False,True,False,False,4.0,9.89,17.0,Asset Management,34.8496,-2.1779,-5.781,29.547,35.4178,16.53,30.2036,93.65,23.78,1.6067567567567567,0.6823607731509114,0.8048194402138965,0.6714138088757631,0.7873233654266378,4.7,Financial Services,stockoracle_payloads/raw/raw_bn.json,BN
93.79,88.79,55.69,7.77,122.69,False,False,False,False,False,False,False,4.0,15.79,22.06,Asset Management,125.3305,139.1266,144.5558,141.1308,115.5636,139.7148,146.0952,1.5,144.48,1.5404627358993495,1.15279201790466,1.023731177035771,1.2502206577157513,0.988944195291837,77.69,Financial Services,stockoracle_payloads/raw/raw_bx.json,BX
15155.38,14688.08,14688.08,6.57,,False,False,False,False,True,False,False,4.0,186.34,4.0,REIT - Office,70.4903,-160.9725,-134.8359,92.5101,66.0649,-45.8978,77.4198,1.04,70.46,0.004649174088673461,0.9995701536239736,0.7616465661587221,1.066527006019838,0.9101031002405069,31.54,Real Estate,stockoracle_payloads/raw/raw_bxp.json,BXP
,31.76,31.76,5.37,,True,False,False,False,True,False,False,4.0,-8.98,4.0,Asset Management,29.2431,25.9347,25.6398,31.7461,29.2431,25.6637,29.6216,-9.2,29.12,,0.9957904599717541,0.9172780278522402,0.9957904599717541,0.9830664109973803,87.36,Financial Services,stockoracle_payloads/raw/raw_bxsl.json,BXSL
