dcf20,dfcf20,dfcfTerminal,discountRate,dni20,flag_dcf_missing,flag_dcf_negative,flag_dfcf_missing,flag_dfcf_negative,flag_dni_missing,flag_meanpb_missing,flag_meanps_missing,growth_11_20,growth_1_5,growth_6_10,industry,meanPB,meanPE,meanPE_noNRI,meanPS,medianPB,medianPE,medianPS,oraclePremiumPct,oracleValue,ratio_oracle_dcf,ratio_oracle_meanPB,ratio_oracle_meanPS,ratio_oracle_medianPB,ratio_oracle_medianPS,ruleOf40,sector,source_file,ticker,predictedOracle,strategyUsed,absError,pctError
197.49,169.24,609.3,5.37,136.15,False,False,False,False,False,False,False,4.0,0.99,4.0,Drug Manufacturers - General,319.9714,187.2185,189.164,230.5952,319.9714,154.2597,230.5952,-20.44,188.4,0.9539723530305332,0.588802624234541,0.8170161391043699,0.588802624234541,0.8170161391043699,36.52,Healthcare,stockoracle_payloads/biotech_highgrowth_2025-10-27.json,BIIB,164.70666,dcf_pref_ps_cap,23.693340000000006,0.12576082802547775
223.39,187.12,571.67,5.37,232.26,False,False,False,False,False,False,False,4.0,7.34,9.1,Drug Manufacturers - General,189.4625,229.9616,260.8956,174.524,188.474,248.2634,174.1446,2.21,186.28,0.8338779712610234,0.983202480701986,1.0673603630446242,0.988359137069304,1.06968576688568,34.72,Healthcare,stockoracle_payloads/healthcare_cluster_2025-10-27.json,JNJ,186.30725999999999,dcf_pref_ps_cap,0.027259999999984075,0.00014633884474975347
455.08,390.06,714.18,5.37,319.96,False,False,False,False,False,False,False,4.0,2.01,4.0,Medical - Healthcare Plans,572.5449,586.404,578.4436,622.6176,591.3855,570.492,641.2032,-10.37,404.43,0.888700887755999,0.7063725482490544,0.6495640341680029,0.6838686440570492,0.6307360911486405,14.59,Healthcare,stockoracle_payloads/healthcare_cluster_2025-10-27.json,UNH,404.05211917374976,healthcare_plans,0.377880826250248,0.0009343540940341913
83.85,44.71,79.4,5.37,34.44,False,False,False,False,False,False,False,4.0,7.31,4.21,Drug Manufacturers - General,48.9978,30.057,29.946,41.0558,47.1942,32.3145,41.6537,1.86,42.45,0.5062611806797854,0.8663654286518987,1.0339586611392302,0.8994749354793597,1.0191171492568487,24.92,Healthcare,stockoracle_payloads/healthcare_cluster_2025-10-27.json,GSK,42.4516972,dcf_pref_ps_cap,0.0016971999999952914,3.9981154299064576e-05
102.29,60.34,123.42,5.37,59.02,False,False,False,False,False,False,False,4.0,11.86,5.0,Drug Manufacturers - General,90.9902,278.3475,112.292,84.942,81.6172,99.2172,85.4865,-2.58,85.5,0.8358588327304721,0.9396616338902432,1.0065691883873702,1.047573305626755,1.000157919671527,38.7,Healthcare,stockoracle_payloads/healthcare_cluster_2025-10-27.json,AZN,85.30986,dcf_pref_ps_cap,0.19013999999999953,0.0022238596491228014
338.04,234.87,480.64,5.37,393.99,False,False,False,False,False,False,False,4.0,7.37,4.0,Medical - Healthcare Plans,538.424,444.8927,440.7384,592.212,564.1575,455.5266,609.63,-33.15,512.13,1.5149982250621228,0.9511648812088614,0.8647747766002716,0.907778412943194,0.8400669258402638,15.42,Healthcare,stockoracle_payloads/healthcare_plans_2025-10-27.json,ELV,515.9826332764651,healthcare_plans,3.852633276465099,0.007522764291225077
595.1,443.55,1590.6,5.37,564.29,False,False,False,False,False,False,False,4.0,11.35,11.62,Medical - Healthcare Plans,288.1044,305.5343,306.1944,438.363,286.596,284.5791,448.1044,-31.27,439.05,0.7377751638380105,1.5239267432222487,1.0015671943115638,1.5319474102918391,0.9797939944352254,24.55,Healthcare,stockoracle_payloads/healthcare_plans_2025-10-27.json,CI,439.2107826053686,healthcare_plans,0.16078260536858124,0.0003662056835635605
748.87,611.05,1798.9,5.37,369.8,False,False,False,False,False,False,False,4.0,18.14,6.56,Medical - Healthcare Plans,477.5715,263.004,264.3344,550.5786,529.1189,261.702,642.3417,-34.25,442.04,0.5902760158639017,0.9255996222555156,0.8028644774787832,0.8354265931532591,0.6881695521246715,13.27,Healthcare,stockoracle_payloads/healthcare_plans_2025-10-27.json,HUM,440.10696002191247,healthcare_plans,1.9330399780875496,0.0043729978691691915
53.98,31.37,96.18,5.37,65.25,False,False,False,False,False,False,False,4.0,3.58,4.0,Medical - Healthcare Plans,80.91,94.9312,91.8372,101.0912,82.026,71.136,97.4808,-54.52,74.91,1.387736198592071,0.9258435298479792,0.7410140546358139,0.9132470192378026,0.7684590196223255,12.14,Healthcare,stockoracle_payloads/healthcare_plans_extra_2025-10-27.json,CNC,73.59784774180451,healthcare_plans,1.312152258195482,0.017516383102329225
,,,5.37,334.61,True,False,True,False,False,False,False,4.0,6.29,4.0,Medical - Healthcare Plans,433.9104,338.7548,325.134,475.1992,444.5938,339.4276,500.6563,-64.54,460.55,,1.061394241760511,0.9691725070244226,1.035889389370702,0.91989254904013,14.9,Healthcare,stockoracle_payloads/healthcare_plans_extra_2025-10-27.json,MOH,458.1815397756563,healthcare_plans,2.368460224343721,0.005142677720863579
147.8,79.97,354.7,5.37,73.91,False,False,False,False,False,False,False,4.0,12.74,10.58,Medical - Healthcare Plans,83.0552,63.2961,63.3635,97.376,80.6124,55.8705,88.247,32.02,62.06,0.4198917456021651,0.747213901116366,0.63732336510023,0.7698567466047408,0.7032533683864608,9.62,Healthcare,stockoracle_payloads/healthcare_plans_extra_2025-10-27.json,CVS,64.0381174050404,healthcare_plans,1.9781174050403934,0.03187427336513685
